ticket_id,date,customer_tier,subject,description,status,resolution
T-0300,2024-12-20,Business,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,escalated,Verified identity via out-of-band process. Disabled MFA. Customer re-enrolled on new device.
T-0301,2024-01-21,Business,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,resolved,Incorrect kubeadm token. Ran 'kubeadm token create' and re-joined nodes. All nodes Ready.
T-0302,2024-02-22,Enterprise,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,open,
T-0303,2024-03-23,Enterprise,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,open,
T-0304,2024-04-24,Free,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,resolved,VM must be stopped before resizing. Guided customer through stop → resize → start workflow.
T-0305,2024-05-25,Pro,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,resolved,API key had trailing newline in the environment variable. Fixed with: export NIRVANA_API_KEY=$(cat key.txt | tr -d '\n')
T-0306,2024-06-26,Pro,DNS record not propagating,Updated A record 13 hours ago but domain still resolves to old IP.,escalated,Old TTL of 86400s was still in effect. Had to wait for TTL expiry. Lowered TTL to 300s going forward.
T-0307,2024-07-27,Enterprise,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 7 unused days.,escalated,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0308,2024-08-28,Business,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 15 minutes. IKEv2 session expires.,resolved,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0309,2024-09-01,Pro,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,resolved,API key used for auth had expired. Generated new key and re-ran 'docker login'.
T-0310,2024-10-02,Free,High CPU alert not triggering,CPU has been at 100% for 10 minutes but no alert was received.,resolved,Alert evaluation window was set to 30 minutes. Customer lowered to 5 minutes. Alert fired correctly.
T-0311,2024-11-03,Free,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,resolved,Updated organisation name in Settings → Profile. Reissued invoice with correct company name.
T-0312,2024-12-04,Business,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,resolved,SSH keys must be associated at VM creation time. Guided customer to create snapshot and relaunch.
T-0313,2024-01-05,Pro,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,open,
T-0314,2024-02-06,Pro,Network latency between VMs is high,Ping between two VMs in same region is 40ms. Expected <5ms.,open,
T-0315,2024-03-07,Pro,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 42 hours.,open,
T-0316,2024-04-08,Enterprise,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,open,
T-0317,2024-05-09,Free,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,resolved,StorageClass was not set to 'nirvana-block'. Updated PVC manifest with correct storageClassName.
T-0318,2024-06-10,Enterprise,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,resolved,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0319,2024-07-11,Free,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",open,
T-0320,2024-08-12,Pro,VM shows wrong timezone,System clock on VM is off by 20 hours. Services logging in wrong timezone.,resolved,Guided customer to set timezone: timedatectl set-timezone UTC. Advised using UTC for all servers.
T-0321,2024-09-13,Enterprise,Object storage upload times out for large files,Uploading files over 10GB times out partway through.,escalated,Switched to multipart upload (aws s3 cp with default multipart threshold). Upload completed successfully.
T-0322,2024-10-14,Business,Auto-scaling not triggering scale-out,CPU consistently above 80% but scaling group is not adding VMs.,open,
T-0323,2024-11-15,Enterprise,Cannot delete VM - shows error,Attempting to delete VM results in 'resource in use' error.,resolved,"VM had an attached floating IP. Detached floating IP first, then deleted VM successfully."
T-0324,2024-12-16,Free,API rate limit hit unexpectedly,Application receiving 429 responses from Nirvana API during peak hours.,resolved,Application was polling VM status every second. Switched to webhook events. Rate limit no longer hit.
T-0325,2024-01-17,Pro,Windows VM cannot activate,Windows Server VM showing activation error after launch.,open,
T-0326,2024-02-18,Pro,Requesting P1 escalation for production outage,Production system is completely down. 5 customers affected. Revenue impact.,escalated,Escalated to Tier 4 engineering. Root cause: network switch failure in rack. VMs live-migrated. Resolved in 5 minutes.
T-0327,2024-03-19,Free,Data transfer between regions charged unexpectedly,Expected cross-region transfer to be free but being charged $0.02/GB.,open,
T-0328,2024-04-20,Free,Cannot enable IPv6 on existing VPC,Option to enable IPv6 is greyed out on an existing VPC.,escalated,IPv6 can only be enabled on VPCs created after June 2024. Guided customer to create a new VPC with IPv6 enabled.
T-0329,2024-05-21,Business,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,open,
T-0330,2024-06-22,Enterprise,VM stuck in Pending state,Launched a standard-8 instance in us-east-1; still shows Pending after 20 minutes.,resolved,Capacity was temporarily exhausted in us-east-1. VM launched after manual intervention by ops team.
T-0331,2024-07-23,Free,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,resolved,Firewall rule for TCP 22 was inadvertently removed. Added rule back via dashboard.
T-0332,2024-08-24,Business,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,resolved,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0333,2024-09-25,Pro,Account locked after failed login attempts,Customer locked out after 5 failed login attempts. Cannot reset password via email.,escalated,Unlocked account manually. Guided customer through password reset and 2FA setup.
T-0334,2024-10-26,Business,High outbound data transfer charges,Monthly bill is 5x higher than expected. Suspecting unexpected data transfer fees.,resolved,Found misconfigured backup job sending 2TB/day to S3-compatible endpoint. Fixed job config.
T-0335,2024-11-27,Pro,GPU instance VRAM lower than spec,gpu-small shows 14.5GB VRAM instead of 16GB as advertised.,escalated,1.5GB is reserved per GPU for ECC error correction. Documentation updated to clarify.
T-0336,2024-12-28,Pro,Snapshot restore failed,Attempting to restore snapshot snap_2445 results in 'Restore failed' error.,resolved,Engineering investigated. Snapshot had filesystem corruption. Customer took new snapshot successfully.
T-0337,2024-01-01,Free,Cannot connect to VM after firewall rule change,Added a new firewall rule to restrict SSH. Now locked out completely.,escalated,Accessed VM via console and corrected firewall rules. Added a 'allow from admin IP' rule.
T-0338,2024-02-02,Pro,VM paused unexpectedly on free tier,Free tier VM paused without warning after 17 days of activity.,open,
T-0339,2024-03-03,Free,Payment method declined,Credit card is being declined on payment form even though card is valid.,open,
T-0340,2024-04-04,Pro,Slow disk I/O on Standard SSD volume,Database queries taking 5x longer than expected. Disk throughput appears throttled.,resolved,Standard SSD burst credits were exhausted. Upgraded customer to Performance SSD volume.
T-0341,2024-05-05,Enterprise,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,escalated,Verified identity via out-of-band process. Disabled MFA. Customer re-enrolled on new device.
T-0342,2024-06-06,Business,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,escalated,Incorrect kubeadm token. Ran 'kubeadm token create' and re-joined nodes. All nodes Ready.
T-0343,2024-07-07,Free,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,resolved,Bucket ACL was set to private. Customer updated bucket policy to allow their service account.
T-0344,2024-08-08,Pro,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,open,
T-0345,2024-09-09,Enterprise,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,open,
T-0346,2024-10-10,Business,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,resolved,API key had trailing newline in the environment variable. Fixed with: export NIRVANA_API_KEY=$(cat key.txt | tr -d '\n')
T-0347,2024-11-11,Pro,DNS record not propagating,Updated A record 36 hours ago but domain still resolves to old IP.,escalated,Old TTL of 86400s was still in effect. Had to wait for TTL expiry. Lowered TTL to 300s going forward.
T-0348,2024-12-12,Business,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 16 unused days.,escalated,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0349,2024-01-13,Business,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 20 minutes. IKEv2 session expires.,resolved,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0350,2024-02-14,Enterprise,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,escalated,API key used for auth had expired. Generated new key and re-ran 'docker login'.
T-0351,2024-03-15,Business,High CPU alert not triggering,CPU has been at 100% for 15 minutes but no alert was received.,resolved,Alert evaluation window was set to 30 minutes. Customer lowered to 5 minutes. Alert fired correctly.
T-0352,2024-04-16,Business,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,resolved,Updated organisation name in Settings → Profile. Reissued invoice with correct company name.
T-0353,2024-05-17,Business,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,resolved,SSH keys must be associated at VM creation time. Guided customer to create snapshot and relaunch.
T-0354,2024-06-18,Free,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,resolved,Advised enabling checkpointing every 30 minutes and using a persistent volume for checkpoints.
T-0355,2024-07-19,Pro,Network latency between VMs is high,Ping between two VMs in same region is 80ms. Expected <5ms.,resolved,VMs were in different physical availability zones. Live-migrated one VM. Latency now <1ms.
T-0356,2024-08-20,Pro,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 37 hours.,resolved,"Endpoint was returning 500 on Nirvana's test event. After fixing endpoint, events arrived within seconds."
T-0357,2024-09-21,Free,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,open,
T-0358,2024-10-22,Pro,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,resolved,StorageClass was not set to 'nirvana-block'. Updated PVC manifest with correct storageClassName.
T-0359,2024-11-23,Pro,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,resolved,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0360,2024-12-24,Free,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",escalated,ACS URL in IdP config had a trailing slash mismatch. Corrected URL. SSO working correctly.
T-0361,2024-01-25,Pro,VM shows wrong timezone,System clock on VM is off by 45 hours. Services logging in wrong timezone.,resolved,Guided customer to set timezone: timedatectl set-timezone UTC. Advised using UTC for all servers.
T-0362,2024-02-26,Pro,Object storage upload times out for large files,Uploading files over 10GB times out partway through.,open,
T-0363,2024-03-27,Business,Auto-scaling not triggering scale-out,CPU consistently above 80% but scaling group is not adding VMs.,resolved,Scaling policy evaluation window was 30 minutes. Lowered to 5 minutes. Scale-out now triggers correctly.
T-0364,2024-04-28,Pro,Cannot delete VM - shows error,Attempting to delete VM results in 'resource in use' error.,resolved,"VM had an attached floating IP. Detached floating IP first, then deleted VM successfully."
T-0365,2024-05-01,Free,API rate limit hit unexpectedly,Application receiving 429 responses from Nirvana API during peak hours.,resolved,Application was polling VM status every second. Switched to webhook events. Rate limit no longer hit.
T-0366,2024-06-02,Business,Windows VM cannot activate,Windows Server VM showing activation error after launch.,resolved,Nirvana uses KMS activation on an internal server. Configured Windows KMS client key and pointed to internal KMS.
T-0367,2024-07-03,Free,Requesting P1 escalation for production outage,Production system is completely down. 10 customers affected. Revenue impact.,open,
T-0368,2024-08-04,Free,Data transfer between regions charged unexpectedly,Expected cross-region transfer to be free but being charged $0.02/GB.,escalated,Cross-region transfer is $0.02/GB per pricing policy. Advised using object storage replication for bulk transfers.
T-0369,2024-09-05,Enterprise,Cannot enable IPv6 on existing VPC,Option to enable IPv6 is greyed out on an existing VPC.,escalated,IPv6 can only be enabled on VPCs created after June 2024. Guided customer to create a new VPC with IPv6 enabled.
T-0370,2024-10-06,Business,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,resolved,Cleared auth cache and guided customer to log in via incognito window. Resolved.
T-0371,2024-11-07,Free,VM stuck in Pending state,Launched a standard-8 instance in ap-south-1; still shows Pending after 5 minutes.,resolved,Capacity was temporarily exhausted in ap-south-1. VM launched after manual intervention by ops team.
T-0372,2024-12-08,Business,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,escalated,Firewall rule for TCP 22 was inadvertently removed. Added rule back via dashboard.
T-0373,2024-01-09,Free,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,resolved,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0374,2024-02-10,Free,Account locked after failed login attempts,Customer locked out after 3 failed login attempts. Cannot reset password via email.,resolved,Unlocked account manually. Guided customer through password reset and 2FA setup.
T-0375,2024-03-11,Business,High outbound data transfer charges,Monthly bill is 5x higher than expected. Suspecting unexpected data transfer fees.,resolved,Found misconfigured backup job sending 2TB/day to S3-compatible endpoint. Fixed job config.
T-0376,2024-04-12,Pro,GPU instance VRAM lower than spec,gpu-small shows 15GB VRAM instead of 16GB as advertised.,resolved,1.5GB is reserved per GPU for ECC error correction. Documentation updated to clarify.
T-0377,2024-05-13,Enterprise,Snapshot restore failed,Attempting to restore snapshot snap_2732 results in 'Restore failed' error.,open,
T-0378,2024-06-14,Pro,Cannot connect to VM after firewall rule change,Added a new firewall rule to restrict SSH. Now locked out completely.,escalated,Accessed VM via console and corrected firewall rules. Added a 'allow from admin IP' rule.
T-0379,2024-07-15,Free,VM paused unexpectedly on free tier,Free tier VM paused without warning after 5 days of activity.,resolved,Free tier VMs are paused after 30 days of inactivity. Customer restarted and upgraded to Pro.
T-0380,2024-08-16,Free,Payment method declined,Credit card is being declined on payment form even though card is valid.,resolved,Card processor flagged transaction as suspicious. Customer tried a different card successfully.
T-0381,2024-09-17,Pro,Slow disk I/O on Standard SSD volume,Database queries taking 5x longer than expected. Disk throughput appears throttled.,resolved,Standard SSD burst credits were exhausted. Upgraded customer to Performance SSD volume.
T-0382,2024-10-18,Enterprise,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,open,
T-0383,2024-11-19,Free,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,resolved,Incorrect kubeadm token. Ran 'kubeadm token create' and re-joined nodes. All nodes Ready.
T-0384,2024-12-20,Enterprise,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,resolved,Bucket ACL was set to private. Customer updated bucket policy to allow their service account.
T-0385,2024-01-21,Enterprise,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,resolved,Health check path was /healthz but app serves /health. Updated health check path in LB config.
T-0386,2024-02-22,Free,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,open,
T-0387,2024-03-23,Business,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,open,
T-0388,2024-04-24,Enterprise,DNS record not propagating,Updated A record 25 hours ago but domain still resolves to old IP.,resolved,Old TTL of 86400s was still in effect. Had to wait for TTL expiry. Lowered TTL to 300s going forward.
T-0389,2024-05-25,Business,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 22 unused days.,resolved,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0390,2024-06-26,Business,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 10 minutes. IKEv2 session expires.,escalated,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0391,2024-07-27,Free,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,escalated,API key used for auth had expired. Generated new key and re-ran 'docker login'.
T-0392,2024-08-28,Enterprise,High CPU alert not triggering,CPU has been at 100% for 10 minutes but no alert was received.,resolved,Alert evaluation window was set to 30 minutes. Customer lowered to 5 minutes. Alert fired correctly.
T-0393,2024-09-01,Enterprise,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,open,
T-0394,2024-10-02,Business,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,resolved,SSH keys must be associated at VM creation time. Guided customer to create snapshot and relaunch.
T-0395,2024-11-03,Pro,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,resolved,Advised enabling checkpointing every 30 minutes and using a persistent volume for checkpoints.
T-0396,2024-12-04,Business,Network latency between VMs is high,Ping between two VMs in same region is 20ms. Expected <5ms.,resolved,VMs were in different physical availability zones. Live-migrated one VM. Latency now <1ms.
T-0397,2024-01-05,Free,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 28 hours.,resolved,"Endpoint was returning 500 on Nirvana's test event. After fixing endpoint, events arrived within seconds."
T-0398,2024-02-06,Free,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,resolved,Port 25 is blocked by default. Customer switched to port 587 (SMTP submission) via SendGrid relay.
T-0399,2024-03-07,Enterprise,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,open,
T-0400,2024-04-08,Free,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,resolved,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0401,2024-05-09,Business,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",escalated,ACS URL in IdP config had a trailing slash mismatch. Corrected URL. SSO working correctly.
T-0402,2024-06-10,Enterprise,VM shows wrong timezone,System clock on VM is off by 27 hours. Services logging in wrong timezone.,resolved,Guided customer to set timezone: timedatectl set-timezone UTC. Advised using UTC for all servers.
T-0403,2024-07-11,Enterprise,Object storage upload times out for large files,Uploading files over 5GB times out partway through.,resolved,Switched to multipart upload (aws s3 cp with default multipart threshold). Upload completed successfully.
T-0404,2024-08-12,Pro,Auto-scaling not triggering scale-out,CPU consistently above 80% but scaling group is not adding VMs.,escalated,Scaling policy evaluation window was 30 minutes. Lowered to 5 minutes. Scale-out now triggers correctly.
T-0405,2024-09-13,Free,Cannot delete VM - shows error,Attempting to delete VM results in 'resource in use' error.,open,
T-0406,2024-10-14,Free,API rate limit hit unexpectedly,Application receiving 429 responses from Nirvana API during peak hours.,resolved,Application was polling VM status every second. Switched to webhook events. Rate limit no longer hit.
T-0407,2024-11-15,Enterprise,Windows VM cannot activate,Windows Server VM showing activation error after launch.,open,
T-0408,2024-12-16,Free,Requesting P1 escalation for production outage,Production system is completely down. 3 customers affected. Revenue impact.,resolved,Escalated to Tier 4 engineering. Root cause: network switch failure in rack. VMs live-migrated. Resolved in 30 minutes.
T-0409,2024-01-17,Enterprise,Data transfer between regions charged unexpectedly,Expected cross-region transfer to be free but being charged $0.02/GB.,resolved,Cross-region transfer is $0.02/GB per pricing policy. Advised using object storage replication for bulk transfers.
T-0410,2024-02-18,Enterprise,Cannot enable IPv6 on existing VPC,Option to enable IPv6 is greyed out on an existing VPC.,resolved,IPv6 can only be enabled on VPCs created after June 2024. Guided customer to create a new VPC with IPv6 enabled.
T-0411,2024-03-19,Pro,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,resolved,Cleared auth cache and guided customer to log in via incognito window. Resolved.
T-0412,2024-04-20,Pro,VM stuck in Pending state,Launched a standard-8 instance in us-east-1; still shows Pending after 30 minutes.,resolved,Capacity was temporarily exhausted in us-east-1. VM launched after manual intervention by ops team.
T-0413,2024-05-21,Business,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,resolved,Firewall rule for TCP 22 was inadvertently removed. Added rule back via dashboard.
T-0414,2024-06-22,Enterprise,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,resolved,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0415,2024-07-23,Enterprise,Account locked after failed login attempts,Customer locked out after 10 failed login attempts. Cannot reset password via email.,resolved,Unlocked account manually. Guided customer through password reset and 2FA setup.
T-0416,2024-08-24,Business,High outbound data transfer charges,Monthly bill is 2x higher than expected. Suspecting unexpected data transfer fees.,resolved,Found misconfigured backup job sending 5TB/day to S3-compatible endpoint. Fixed job config.
T-0417,2024-09-25,Business,GPU instance VRAM lower than spec,gpu-small shows 14.5GB VRAM instead of 16GB as advertised.,resolved,2GB is reserved per GPU for ECC error correction. Documentation updated to clarify.
T-0418,2024-10-26,Free,Snapshot restore failed,Attempting to restore snapshot snap_3019 results in 'Restore failed' error.,resolved,Engineering investigated. Snapshot had filesystem corruption. Customer took new snapshot successfully.
T-0419,2024-11-27,Business,Cannot connect to VM after firewall rule change,Added a new firewall rule to restrict SSH. Now locked out completely.,resolved,Accessed VM via console and corrected firewall rules. Added a 'allow from admin IP' rule.
T-0420,2024-12-28,Pro,VM paused unexpectedly on free tier,Free tier VM paused without warning after 3 days of activity.,resolved,Free tier VMs are paused after 30 days of inactivity. Customer restarted and upgraded to Pro.
T-0421,2024-01-01,Free,Payment method declined,Credit card is being declined on payment form even though card is valid.,resolved,Card processor flagged transaction as suspicious. Customer tried a different card successfully.
T-0422,2024-02-02,Business,Slow disk I/O on Standard SSD volume,Database queries taking 3x longer than expected. Disk throughput appears throttled.,open,
T-0423,2024-03-03,Enterprise,"MFA device lost, cannot log in",Lost phone with authenticator app. Cannot use backup codes (also lost).,resolved,Verified identity via out-of-band process. Disabled MFA. Customer re-enrolled on new device.
T-0424,2024-04-04,Business,Kubernetes node not joining cluster,Added new node pool to NKS cluster. Nodes stay in NotReady state.,resolved,Incorrect kubeadm token. Ran 'kubeadm token create' and re-joined nodes. All nodes Ready.
T-0425,2024-05-05,Enterprise,Object storage bucket returns 403,S3-compatible API returns 403 Forbidden on all GET requests to bucket.,resolved,Bucket ACL was set to private. Customer updated bucket policy to allow their service account.
T-0426,2024-06-06,Enterprise,Load balancer health check failing,Backend VMs are healthy but load balancer shows them as unhealthy.,resolved,Health check path was /healthz but app serves /health. Updated health check path in LB config.
T-0427,2024-07-07,Pro,Cannot resize VM - option greyed out,Resize option is greyed out in the dashboard for running VM.,resolved,VM must be stopped before resizing. Guided customer through stop → resize → start workflow.
T-0428,2024-08-08,Pro,Terraform provider authentication error,Terraform apply fails with: 'invalid API key' even though key is correct.,escalated,API key had trailing newline in the environment variable. Fixed with: export NIRVANA_API_KEY=$(cat key.txt | tr -d '\n')
T-0429,2024-09-09,Business,DNS record not propagating,Updated A record 18 hours ago but domain still resolves to old IP.,resolved,Old TTL of 86400s was still in effect. Had to wait for TTL expiry. Lowered TTL to 300s going forward.
T-0430,2024-10-10,Free,Requesting refund for unused subscription,Customer cancelled service and wants a prorated refund for 16 unused days.,resolved,"Per refund policy, prorated refund issued for unused days. Credit applied to payment method."
T-0431,2024-11-11,Business,VPN tunnel keeps dropping,Site-to-site VPN tunnel disconnects every 10 minutes. IKEv2 session expires.,resolved,IKE lifetime mismatch between Nirvana and customer router. Aligned to 28800s / 3600s. Stable since.
T-0432,2024-12-12,Business,Container image push fails with 401,Docker push to Nirvana Container Registry fails with 'unauthorized' error.,resolved,API key used for auth had expired. Generated new key and re-ran 'docker login'.
T-0433,2024-01-13,Enterprise,High CPU alert not triggering,CPU has been at 100% for 10 minutes but no alert was received.,resolved,Alert evaluation window was set to 30 minutes. Customer lowered to 5 minutes. Alert fired correctly.
T-0434,2024-02-14,Pro,Invoice shows incorrect company name,Company name on invoice is Nirvana Inc. instead of the legal entity name.,open,
T-0435,2024-03-15,Business,SSH key rejected on existing VM,Added new SSH public key in settings but cannot log in with it on existing VM.,resolved,SSH keys must be associated at VM creation time. Guided customer to create snapshot and relaunch.
T-0436,2024-04-16,Pro,Spot instance interrupted during training,ML training job interrupted due to spot instance reclamation. Lost 4 hours of progress.,escalated,Advised enabling checkpointing every 30 minutes and using a persistent volume for checkpoints.
T-0437,2024-05-17,Enterprise,Network latency between VMs is high,Ping between two VMs in same region is 20ms. Expected <5ms.,open,
T-0438,2024-06-18,Business,Webhook not receiving events,Configured webhook endpoint but not receiving any events after 18 hours.,resolved,"Endpoint was returning 500 on Nirvana's test event. After fixing endpoint, events arrived within seconds."
T-0439,2024-07-19,Pro,Outbound email from VM being rejected,Emails sent from VM on port 25 are rejected by receiving mail servers.,escalated,Port 25 is blocked by default. Customer switched to port 587 (SMTP submission) via SendGrid relay.
T-0440,2024-08-20,Enterprise,Kubernetes PVC stuck in Pending,PersistentVolumeClaim stays Pending. Pod cannot schedule.,resolved,StorageClass was not set to 'nirvana-block'. Updated PVC manifest with correct storageClassName.
T-0441,2024-09-21,Free,Free tier credit not applied,Account shows $0 credits despite signing up within trial period.,resolved,Credit promotion code was not entered at signup. Applied credit manually after verification.
T-0442,2024-10-22,Pro,SSO login loop,"After configuring SAML SSO, login redirects in a loop without completing.",open,
T-0443,2024-11-23,Business,VM shows wrong timezone,System clock on VM is off by 26 hours. Services logging in wrong timezone.,open,
T-0444,2024-12-24,Pro,Object storage upload times out for large files,Uploading files over 20GB times out partway through.,resolved,Switched to multipart upload (aws s3 cp with default multipart threshold). Upload completed successfully.
T-0445,2024-01-25,Business,Auto-scaling not triggering scale-out,CPU consistently above 80% but scaling group is not adding VMs.,resolved,Scaling policy evaluation window was 30 minutes. Lowered to 5 minutes. Scale-out now triggers correctly.
T-0446,2024-02-26,Enterprise,Cannot delete VM - shows error,Attempting to delete VM results in 'resource in use' error.,resolved,"VM had an attached floating IP. Detached floating IP first, then deleted VM successfully."
T-0447,2024-03-27,Enterprise,API rate limit hit unexpectedly,Application receiving 429 responses from Nirvana API during peak hours.,escalated,Application was polling VM status every second. Switched to webhook events. Rate limit no longer hit.
T-0448,2024-04-28,Enterprise,Windows VM cannot activate,Windows Server VM showing activation error after launch.,escalated,Nirvana uses KMS activation on an internal server. Configured Windows KMS client key and pointed to internal KMS.
T-0449,2024-05-01,Business,Requesting P1 escalation for production outage,Production system is completely down. 3 customers affected. Revenue impact.,resolved,Escalated to Tier 4 engineering. Root cause: network switch failure in rack. VMs live-migrated. Resolved in 10 minutes.
T-0450,2024-06-02,Pro,Data transfer between regions charged unexpectedly,Expected cross-region transfer to be free but being charged $0.02/GB.,resolved,Cross-region transfer is $0.02/GB per pricing policy. Advised using object storage replication for bulk transfers.
T-0451,2024-07-03,Free,Cannot enable IPv6 on existing VPC,Option to enable IPv6 is greyed out on an existing VPC.,open,
T-0452,2024-08-04,Free,Cannot log in after password reset,Customer reset password but login still fails with invalid credentials error.,escalated,Cleared auth cache and guided customer to log in via incognito window. Resolved.
T-0453,2024-09-05,Business,VM stuck in Pending state,Launched a standard-8 instance in eu-west-1; still shows Pending after 5 minutes.,resolved,Capacity was temporarily exhausted in eu-west-1. VM launched after manual intervention by ops team.
T-0454,2024-10-06,Pro,SSH connection refused on port 22,Cannot SSH into VM after reboot. Getting 'Connection refused' on port 22.,open,
T-0455,2024-11-07,Business,Volume not mounting after VM reboot,Attached volume /dev/vdb disappears after VM restart. Need to remount manually each time.,escalated,"Added persistent mount entry to /etc/fstab: /dev/vdb /data ext4 defaults,nofail 0 2"
T-0456,2024-12-08,Free,Account locked after failed login attempts,Customer locked out after 5 failed login attempts. Cannot reset password via email.,open,
T-0457,2024-01-09,Enterprise,High outbound data transfer charges,Monthly bill is 2x higher than expected. Suspecting unexpected data transfer fees.,open,
T-0458,2024-02-10,Pro,GPU instance VRAM lower than spec,gpu-small shows 14GB VRAM instead of 16GB as advertised.,resolved,1GB is reserved per GPU for ECC error correction. Documentation updated to clarify.
T-0459,2024-03-11,Free,Snapshot restore failed,Attempting to restore snapshot snap_3306 results in 'Restore failed' error.,escalated,Engineering investigated. Snapshot had filesystem corruption. Customer took new snapshot successfully.
